"SiteID","wsArea","pctSili","pctBasa","pctGran","pctCarb","majGeol","elev"
777,1.66309999999984,0,0,1,0,"granitic",360.118896484375
778,1.22770000000013,0,0.887051193297538,0.112948806702462,0,"basaltic",653.256408691406
779,2.14050000000049,0,0.619531193067861,0.380468806932139,0,"basaltic",575.523681640625
780,2.50870000000045,0,0.5314515480581,0.4685484519419,0,"basaltic",532.123474121094
781,3.18319999999979,0,0.418840317483538,0.581159682516463,0,"granitic",497.298095703125
782,3.99859999999931,0,0.395791168987129,0.604208831012871,0,"granitic",474.972198486328
783,4.22039999999952,0,0.374990656883689,0.625009343116311,0,"granitic",457.108306884766
784,0.748900000000247,0,0,1,0,"granitic",326.998199462891
785,25.4870000000007,0,0.669026943373189,0.330973056626811,0,"basaltic",312.272186279297
786,25.9576000000007,0,0.657014352416517,0.342985647583483,0,"basaltic",302.266204833984
787,0.898000000000187,0,1,0,0,"basaltic",840.49169921875
788,1.03400000000019,0,1,0,0,"basaltic",788.599914550781
789,3.39760000000097,0,0.99263238206287,0.00736761793712998,0,"basaltic",744.040771484375
790,4.26350000000097,0,0.994128716147955,0.00587128385204467,0,"basaltic",686.01318359375
791,4.52910000000097,0,0.994114074340618,0.0058859256593814,0,"basaltic",649.153381347656
792,1.46020000000026,0,0.0389169328913599,0.96108306710864,0,"granitic",537.458679199219
793,2.19920000000002,0,0.0274042472178863,0.972595752782114,0,"granitic",493.5869140625
794,2.36659999999978,0,0.0254658245929161,0.974534175407084,0,"granitic",437.030609130859
795,2.57569999999978,0,0.0233984627408436,0.976601537259156,0,"granitic",354.534393310547
796,3.19349999999978,0,0.0188719024523523,0.981128097547648,0,"granitic",303.069793701172
797,0.876000000000149,0,0.00298638638702626,0.997013613612974,0,"granitic",335.739501953125
798,1.38300000000039,0,0.00189159398050268,0.998108406019497,0,"granitic",303.354400634766
799,1.45880000000016,0,0.00179330578217381,0.998206694217826,0,"granitic",280.367095947266
800,2.56839999999993,0,0.0068854690095609,0.993114530990439,0,"granitic",256.61669921875
801,0.865299999999878,0,0.0174142657218567,0.982585734278143,0,"granitic",280.453704833984
802,1.29420000000013,0,0.980658152755994,0.0193418472440063,0,"basaltic",864.399780273438
803,1.52920000000025,0,0.983630513534401,0.0163694864655994,0,"basaltic",824.2666015625
804,1.68930000000049,0,0.985181898595163,0.014818101404837,0,"basaltic",788.501281738281
805,24.3767000000006,0,0.69949951001376,0.30050048998624,0,"basaltic",325.641510009766
806,1.07689999999943,0,1,0,0,"basaltic",742.779907226562
807,1.75699999999931,0,1,0,0,"basaltic",680.973083496094
